|      | 结果 | 时间 |
| ---- | ---- | ---- |
|p1|9440|0|
|p2|8126|0.001|
|p3|10126|0|
|p4|12126|0|
|p5|9375|0|
|p6|8061|0|
|p7|10061|0|
|p8|12061|0|
|p9|9040|0|
|p10|7726|0.001|
|p11|9726|0|
|p12|11726|0.002|
|p13|12032|0.001|
|p14|9180|0|
|p15|13180|0.001|
|p16|17180|0|
|p17|12032|0|
|p18|9180|0|
|p19|13180|0|
|p20|17180|0.001|
|p21|12032|0|
|p22|9180|0|
|p23|13180|0.001|
|p24|17180|0.002|
|p25|18753|0.001|
|p26|15831|0.001|
|p27|21031|0.001|
|p28|26231|0.001|
|p29|20007|0.001|
|p30|16812|0.001|
|p31|22212|0.001|
|p32|27612|0.002|
|p33|18611|0.001|
|p34|15689|0.001|
|p35|20889|0.002|
|p36|26089|0.001|
|p37|18611|0.001|
|p38|15689|0.001|
|p39|20889|0.002|
|p40|26089|0|
|p41|7226|0.001|
|p42|9957|0|
|p43|12448|0|
|p44|7585|0.001|
|p45|9848|0|
|p46|12639|0|
|p47|6634|0|
|p48|9044|0|
|p49|12867|0|
|p50|10062|0.001|
|p51|11175|0|
|p52|10364|0|
|p53|12876|0|
|p54|10351|0|
|p55|12383|0.001|
|p56|23882|0.001|
|p57|32882|0.002|
|p58|53882|0.001|
|p59|39121|0.001|
|p60|23882|0.001|
|p61|32882|0.001|
|p62|53882|0.001|
|p63|39121|0.001|
|p64|23882|0.001|
|p65|32882|0.001|
|p66|53882|0.001|
|p67|39671|0.001|
|p68|23882|0.002|
|p69|32882|0.001|
|p70|53882|0.002|
|p71|39121|0.001|
