|      | 结果 | 时间 |
| ---- | ---- | ---- |
|p1|9440|0.005|
|p2|8126|0.009|
|p3|10126|0.006|
|p4|12126|0.006|
|p5|9375|0.007|
|p6|8061|0.005|
|p7|10061|0.005|
|p8|12061|0.005|
|p9|9040|0.006|
|p10|7726|0.006|
|p11|9726|0.006|
|p12|11726|0.005|
|p13|10303|0.005|
|p14|8394|0.006|
|p15|11394|0.021|
|p16|14394|0.01|
|p17|10303|0.006|
|p18|8394|0.006|
|p19|11394|0.007|
|p20|14394|0.005|
|p21|10303|0.006|
|p22|8394|0.006|
|p23|11394|0.005|
|p24|14394|0.006|
|p25|16061|0.017|
|p26|13811|0.017|
|p27|17611|0.018|
|p28|21411|0.018|
|p29|17235|0.021|
|p30|14622|0.019|
|p31|18757|0.017|
|p32|22222|0.019|
|p33|15846|0.018|
|p34|13641|0.018|
|p35|17441|0.018|
|p36|21241|0.017|
|p37|15846|0.018|
|p38|13641|0.018|
|p39|17441|0.018|
|p40|21241|0.017|
|p41|7226|0.01|
|p42|9482|0.009|
|p43|11831|0.009|
|p44|7585|0.01|
|p45|9848|0.01|
|p46|11178|0.008|
|p47|6634|0.011|
|p48|9044|0.01|
|p49|11569|0.008|
|p50|9758|0.011|
|p51|10560|0.011|
|p52|9588|0.012|
|p53|10922|0.011|
|p54|10351|0.011|
|p55|11252|0.011|
|p56|23882|0.023|
|p57|32882|0.022|
|p58|53882|0.022|
|p59|39121|0.023|
|p60|23882|0.023|
|p61|32882|0.022|
|p62|53882|0.022|
|p63|39121|0.022|
|p64|23882|0.024|
|p65|32882|0.023|
|p66|53882|0.023|
|p67|39671|0.024|
|p68|23882|0.023|
|p69|32882|0.022|
|p70|53882|0.023|
|p71|39121|0.023|
